Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Cost
the-uzzle-30,The Uzzle 3.0,"<p>Discover The Uzzle 3.0, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",The Uzzle,Board Games,Board Games,"board-game, puzzle",true,Title,Default Title,,,DB-BG-THEUZZ-050,0,shopify,100,deny,manual,49.99,,true,true,,https://m.media-amazon.com/images/I/71SaknlttBL._AC_SX679_.jpg,1,"The Uzzle 3.0 Board Game, Family Board Games for Children & Adults, Block Puzzle Games for Ages 4+",false,The Uzzle 3.0,"Get the fun and exciting The Uzzle 3.0. Perfect for family game nights, parties, and gifts!",29.99
magical-athlete,Magical Athlete,"<p>Discover Magical Athlete, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",CMYK,Board Games,Board Games,"board-game, family-game",true,Title,Default Title,,,DB-BG-MAGICA-051,0,shopify,100,deny,manual,7.97,,true,true,,https://m.media-amazon.com/images/I/81Lb10drVZL._AC_SX679_.jpg,1,Magical Athlete Board Game - The Only Game Where You Can Race a Baby Against a Banana,false,Magical Athlete,"Get the fun and exciting Magical Athlete. Perfect for family game nights, parties, and gifts!",4.78
outfoxed-a-classic-who-dunnit-for-preschoolers,OUTFOXED: A CLASSIC WHO DUNNIT FOR PRESCHOOLERS,"<p>Discover OUTFOXED: A CLASSIC WHO DUNNIT FOR PRESCHOOLERS, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",CEACO,Board Games,Board Games,"board-game, kids-game, classic",true,Title,Default Title,,,DB-BG-OUTFOX-052,0,shopify,100,deny,manual,24.00,,true,true,,https://m.media-amazon.com/images/I/81c8K6IVBhL._AC_SX679_.jpg,1,"OUTFOXED, A CLASSIC WHO DUNNIT GAME FOR PRESCHOOLERS, 4 players",false,OUTFOXED: A CLASSIC WHO DUNNIT FOR PRESCHOOLERS,"Get the fun and exciting OUTFOXED: A CLASSIC WHO DUNNIT FOR PRESCHOOLERS. Perfect for family game nights, parties, and gifts!",14.40
kerplunk-easy,KerPlunk: Easy,"<p>Discover KerPlunk: Easy, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Other,Board Games,Board Games,"board-game, kids-game",true,Title,Default Title,,,DB-BG-KERPLU-053,0,shopify,100,deny,manual,14.97,,true,true,,https://m.media-amazon.com/images/I/81B1jCXHkeL._AC_SX679_.jpg,1,"Mattel KerPlunk Kids Game, Easy-to-Learn Family Game for 2 to 4 Players, Don't Let The Marbles Fall",false,KerPlunk: Easy,"Get the fun and exciting KerPlunk: Easy. Perfect for family game nights, parties, and gifts!",8.98
the-chameleon-award,The Chameleon: Award,"<p>Discover The Chameleon: Award, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Big Potato,Board Games,Board Games,"board-game, family-game",true,Title,Default Title,,,DB-BG-THECHA-054,0,shopify,100,deny,manual,24.99,,true,true,,https://m.media-amazon.com/images/I/71IsuBX4NZL._AC_SX679_.jpg,1,"The Chameleon: Award-Winning Bluffing Board Game for Family, Adults & Friends | Includes 80 Extra Secret Words | Who is The Imposter?",false,The Chameleon: Award,"Get the fun and exciting The Chameleon: Award. Perfect for family game nights, parties, and gifts!",14.99
scattergories,Scattergories,"<p>Discover Scattergories, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Other,Board Games,Board Games,"board-game, party-game, classic",true,Title,Default Title,,,DB-BG-SCATTE-055,0,shopify,100,deny,manual,19.82,,true,true,,https://m.media-amazon.com/images/I/81PFXGsVe1L._AC_SX679_.jpg,1,"Hasbro Gaming Scattergories Classic Game, Party Game for Adults and Teens Ages 13 and up, Board Game for 2+ Players",false,Scattergories,"Get the fun and exciting Scattergories. Perfect for family game nights, parties, and gifts!",11.89
telestrations-8-player-2nd-edition,Telestrations 8 Player 2nd Edition,"<p>Discover Telestrations 8 Player 2nd Edition, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",USAOPOLY,Board Games,Board Games,"board-game, party-game",true,Title,Default Title,,,DB-BG-TELEST-056,0,shopify,100,deny,manual,31.99,,true,true,,https://m.media-amazon.com/images/I/812RPX-JM-L._AC_SX679_.jpg,1,"Telestrations 8 Player 2nd Edition Board Game, Award Winning Hilarious and Unpredictable Must Have Party Game with a New Look, Sketch What Your Read Then Guess What You Saw, 4-8 Players, Ages 10+",false,Telestrations 8 Player 2nd Edition,"Get the fun and exciting Telestrations 8 Player 2nd Edition. Perfect for family game nights, parties, and gifts!",19.19
candy-land-bluey-edition,Candy Land Bluey Edition,"<p>Discover Candy Land Bluey Edition, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Other,Board Games,Board Games,"board-game, kids-game",true,Title,Default Title,,,DB-BG-CANDYL-057,0,shopify,100,deny,manual,17.06,,true,true,,https://m.media-amazon.com/images/I/813kP3LmYaL._AC_SX679_.jpg,1,"Hasbro Gaming Candy Land Bluey Edition Board Game | Ages 3 and Up | 2-6 Players | Play as Dad, Mum, Bluey, Bingo, Muffin, or Socks | Preschool Games | Kids Gifts (Amazon Exclusive)",false,Candy Land Bluey Edition,"Get the fun and exciting Candy Land Bluey Edition. Perfect for family game nights, parties, and gifts!",10.24
the-of-life,The Of Life,"<p>Discover The Of Life, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Other,Board Games,Board Games,"board-game, kids-game",true,Title,Default Title,,,DB-BG-THEOFL-058,0,shopify,100,deny,manual,21.92,,true,true,,https://m.media-amazon.com/images/I/81A0K5YsuxL._AC_SX679_.jpg,1,"The Game of Life Board Game, Family Games for Kids Ages 8 and Up, Pegs Come in 6 Colors, Family Board Games for 2 to 4 Players",false,The Of Life,"Get the fun and exciting The Of Life. Perfect for family game nights, parties, and gifts!",13.15
pretty-pretty,Pretty: Pretty,"<p>Discover Pretty: Pretty, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Winning Moves,Board Games,Board Games,"board-game, family-game",true,Title,Default Title,,,DB-BG-PRETTY-059,0,shopify,100,deny,manual,17.50,,true,true,,https://m.media-amazon.com/images/I/71ezhpD5NcL._AC_SX679_.jpg,1,"Pretty, Pretty, Princess with 1990's Artwork by Winning Moves Games USA, a Delightful Jewelry Dress-Up Game for 2-4 Players, Ages 5 and Up (1222)",false,Pretty: Pretty,"Get the fun and exciting Pretty: Pretty. Perfect for family game nights, parties, and gifts!",10.50
clever-fox-play-number-hunter-math,Clever Fox Play Number Hunter Math,"<p>Discover Clever Fox Play Number Hunter Math, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Clever Fox Play,Board Games,Board Games,"board-game, kids-game",true,Title,Default Title,,,DB-BG-CLEVER-060,0,shopify,100,deny,manual,24.99,,true,true,,https://m.media-amazon.com/images/I/91FPJ06phAL._AC_SX679_.jpg,1,"Clever Fox Play Number Hunter Math Board Game – Addition & Subtraction Math Game for Kids 5-7 Year Old – Fun Educational STEM Toy for 5+ Year Old, Kindergarten, 1st-3rd Grade, Homeschool & Family",false,Clever Fox Play Number Hunter Math,"Get the fun and exciting Clever Fox Play Number Hunter Math. Perfect for family game nights, parties, and gifts!",14.99
hi-ho-cherry,Hi Ho Cherry,"<p>Discover Hi Ho Cherry, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Other,Board Games,Board Games,"board-game, kids-game",true,Title,Default Title,,,DB-BG-HIHOCH-061,0,shopify,100,deny,manual,11.99,,true,true,,https://m.media-amazon.com/images/I/81SYOPMR9ZL._AC_SX679_.jpg,1,Hasbro Gaming Hi Ho Cherry-O Board Game for 2 to 4 Players Kids Ages 3 and Up (Amazon Exclusive),false,Hi Ho Cherry,"Get the fun and exciting Hi Ho Cherry. Perfect for family game nights, parties, and gifts!",7.19
mancala,Mancala,"<p>Discover Mancala, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Pressman,Board Games,Board Games,"board-game, kids-game, classic, wooden",true,Title,Default Title,,,DB-BG-MANCAL-062,0,shopify,100,deny,manual,15.46,,true,true,,https://m.media-amazon.com/images/I/810tGC1Zt2L._AC_SX679_.jpg,1,"Pressman Mancala Board Game | Fun Classic Table for Adults & Kids | Includes 48 Glass Mancala Stones and Wood Hinged Playing Board | 2 Players, Ages 6+",false,Mancala,"Get the fun and exciting Mancala. Perfect for family game nights, parties, and gifts!",9.28
battleship-with-planes-for-and-up,Battleship With Planes For And Up,"<p>Discover Battleship With Planes For And Up, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Other,Board Games,Board Games,"board-game, strategy-game",true,Title,Default Title,,,DB-BG-BATTLE-063,0,shopify,100,deny,manual,18.98,,true,true,,https://m.media-amazon.com/images/I/81yc8EwVeLL._AC_SX679_.jpg,1,Hasbro Gaming Battleship with Planes Strategy Board Game for Ages 7 and Up (Amazon Exclusive),false,Battleship With Planes For And Up,"Get the fun and exciting Battleship With Planes For And Up. Perfect for family game nights, parties, and gifts!",11.39
tomy-pop-up-pirate,TOMY Pop Up Pirate,"<p>Discover TOMY Pop Up Pirate, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",TOMY,Board Games,Board Games,"board-game, kids-game",true,Title,Default Title,,,DB-BG-TOMYPO-064,0,shopify,100,deny,manual,14.95,,true,true,,https://m.media-amazon.com/images/I/812lSGtI33L._AC_SX679_.jpg,1,TOMY Pop Up Pirate Board Game - Family and Preschool Kids Games for Family Game Night - Winter Break Activities- Girls and Boys Games - 2-4 Players - Ages 4 Years and Up,false,TOMY Pop Up Pirate,"Get the fun and exciting TOMY Pop Up Pirate. Perfect for family game nights, parties, and gifts!",8.97
just-one-2025-refresh,Just One (2025 Refresh),"<p>Discover Just One (2025 Refresh), a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Asmodee,Board Games,Board Games,"board-game, kids-game, party-game",true,Title,Default Title,,,DB-BG-JUSTON-065,0,shopify,100,deny,manual,24.99,,true,true,,https://m.media-amazon.com/images/I/71baeggq-2L._AC_SX679_.jpg,1,"Asmodee Just One Party Game (2025 Refresh) - Cooperative Mystery Word Guessing Fun for Family & Friends, Kids & Adults, Ages 8+, 3-7 Players, 15 Minute Playtime",false,Just One (2025 Refresh),"Get the fun and exciting Just One (2025 Refresh). Perfect for family game nights, parties, and gifts!",14.99
first-to-worst,FIRST TO WORST,"<p>Discover FIRST TO WORST, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",FIRST TO WORST,Board Games,Board Games,"board-game, card-game, party-game",true,Title,Default Title,,,DB-BG-FIRSTT-066,0,shopify,100,deny,manual,19.99,,true,true,,https://m.media-amazon.com/images/I/61hcW9gh-+L._AC_SY879_.jpg,1,"FIRST TO WORST Party Game – The Card Game About How Your Friends and Family Rank Things | Funny Ranking & Guessing Board Game for Friends & Family, Game Nights, Parties & Fun Gift Ideas",false,FIRST TO WORST,"Get the fun and exciting FIRST TO WORST. Perfect for family game nights, parties, and gifts!",11.99
jax-sequence,Jax SEQUENCE,"<p>Discover Jax SEQUENCE, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Jax,Board Games,Board Games,"board-game, kids-game, strategy-game",true,Title,Default Title,,,DB-BG-JAXSEQ-067,0,shopify,100,deny,manual,13.99,,true,true,,https://m.media-amazon.com/images/I/81vL+-9mMiL._AC_SX679_.jpg,1,"Jax SEQUENCE for Kids -- The 'No Reading Required' Strategy Game by Jax and Goliath, Multi Color, 11 inches (2-4 players) (Packaging May Vary)",false,Jax SEQUENCE,"Get the fun and exciting Jax SEQUENCE. Perfect for family game nights, parties, and gifts!",8.39
one-night-ultimate-werewolf,One Night Ultimate Werewolf,"<p>Discover One Night Ultimate Werewolf, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Bezier Games,Board Games,Board Games,"board-game, kids-game, party-game",true,Title,Default Title,,,DB-BG-ONENIG-068,0,shopify,100,deny,manual,24.95,,true,true,,https://m.media-amazon.com/images/I/81Q-JUIw0OL._AC_SX679_.jpg,1,Bezier Games One Night Ultimate Werewolf | Fast 10-Minute Social Deduction and Bluffing | Hidden Roles Mystery Party for Adults and Kids | 3-10 Players,false,One Night Ultimate Werewolf,"Get the fun and exciting One Night Ultimate Werewolf. Perfect for family game nights, parties, and gifts!",14.97
guess-who-pokmon-edition,Guess Who? Pokémon Edition,"<p>Discover Guess Who? Pokémon Edition, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Other,Board Games,Board Games,"board-game, kids-game",true,Title,Default Title,,,DB-BG-GUESSW-069,0,shopify,100,deny,manual,24.99,,true,true,,https://m.media-amazon.com/images/I/81+vKYSRtvL._AC_SX679_.jpg,1,Guess Who? Pokémon Edition Game | 48 Pokémon | Fun Kids Board Games for Families | 2 Players | 15 Mins. | Travel Friendly | Ages 6+,false,Guess Who? Pokémon Edition,"Get the fun and exciting Guess Who? Pokémon Edition. Perfect for family game nights, parties, and gifts!",14.99
big-potato-chicken-vs-hotdog,Big Potato Chicken Vs Hotdog,"<p>Discover Big Potato Chicken Vs Hotdog, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Big Potato,Board Games,Board Games,"board-game, kids-game, party-game",true,Title,Default Title,,,DB-BG-BIGPOT-070,0,shopify,100,deny,manual,24.99,,true,true,,https://m.media-amazon.com/images/I/71b4PkivikL._AC_SX679_.jpg,1,"Big Potato Chicken vs Hotdog: Hilarious Party Game | Flippin' Fun for the Kids, Teens and Adults | Like Bottle Flipping But Better | Bonus Content Included",false,Big Potato Chicken Vs Hotdog,"Get the fun and exciting Big Potato Chicken Vs Hotdog. Perfect for family game nights, parties, and gifts!",14.99
stonemaier-wingspan-by-elizabeth-hargrave-base-game,Stonemaier: Wingspan By Elizabeth Hargrave (Base Game),"<p>Discover Stonemaier: Wingspan By Elizabeth Hargrave (Base Game), a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Stonemaier Games,Board Games,Board Games,"board-game, strategy-game",true,Title,Default Title,,,DB-BG-STONEM-071,0,shopify,100,deny,manual,55.00,,true,true,,https://m.media-amazon.com/images/I/61+m0HYftaL._AC_SX679_.jpg,1,"Stonemaier Games: Wingspan (Base Game) by Elizabeth Hargrave | A Relaxing, Award-Winning Strategy Board Game About Collecting Birds for Adults and Family | 1-5 Players, 70 Mins",false,Stonemaier: Wingspan By Elizabeth Hargrave (Base Game),"Get the fun and exciting Stonemaier: Wingspan By Elizabeth Hargrave (Base Game). Perfect for family game nights, parties, and gifts!",33.00
yeti-in-my-spaghetti,Yeti In My Spaghetti,"<p>Discover Yeti In My Spaghetti, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",PlayMonster,Board Games,Board Games,"board-game, kids-game",true,Title,Default Title,,,DB-BG-YETIIN-072,0,shopify,100,deny,manual,12.97,,true,true,,https://m.media-amazon.com/images/I/814OO94zSoL._AC_SX679_.jpg,1,"Yeti in My Spaghetti Board Game – Kids Games, Family Game, Multi-Player, Board Games for Family Night, Preschool Toys, Hand-Eye-Coordination Game, Don’t Drop Yeti, Ages 4+",false,Yeti In My Spaghetti,"Get the fun and exciting Yeti In My Spaghetti. Perfect for family game nights, parties, and gifts!",7.78
blokus-with-color-blind-accessible-pieces-just-one-rule,Blokus & With Color Blind Accessible Pieces & Just One Rule,"<p>Discover Blokus & With Color Blind Accessible Pieces & Just One Rule, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Other,Board Games,Board Games,"board-game, kids-game, strategy-game",true,Title,Default Title,,,DB-BG-BLOKUS-073,0,shopify,100,deny,manual,17.99,,true,true,,https://m.media-amazon.com/images/I/81lWRKUjvlL._AC_SX679_.jpg,1,Mattel Games Blokus Strategy Board Game for Kids & Families with Color Blind Accessible Pieces & Just One Rule,false,Blokus & With Color Blind Accessible Pieces & Just One Rule,"Get the fun and exciting Blokus & With Color Blind Accessible Pieces & Just One Rule. Perfect for family game nights, parties, and gifts!",10.79
original-shut-the-box,Original Shut The Box,"<p>Discover Original Shut The Box, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Maiji Planet,Board Games,Board Games,"board-game, kids-game, party-game, classic, wooden",true,Title,Default Title,,,DB-BG-ORIGIN-074,0,shopify,100,deny,manual,13.49,,true,true,,https://m.media-amazon.com/images/I/71yn4ARCoQL._AC_SX679_.jpg,1,"Classic Original Shut The Box Game, Math Dice Board Game for Family Night Classroom Travel, Wooden Table for Group Kid Adult Senior, Camp Party Bar, Easy Quick and Fun, 2-4 Players",false,Original Shut The Box,"Get the fun and exciting Original Shut The Box. Perfect for family game nights, parties, and gifts!",8.09
shark-bite,Shark Bite,"<p>Discover Shark Bite, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Pressman,Board Games,Board Games,"board-game, family-game",true,Title,Default Title,,,DB-BG-SHARKB-075,0,shopify,100,deny,manual,19.79,,true,true,,https://m.media-amazon.com/images/I/71JXKLdyJqL._AC_SX679_.jpg,1,"Shark Bite -- Roll the Die and Fish for Colorful Sea Creatures Before the Shark Bites Game! by Pressman Blue Sky, 5""",false,Shark Bite,"Get the fun and exciting Shark Bite. Perfect for family game nights, parties, and gifts!",11.87
