Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Cost
cranium,Cranium,"<p>Discover Cranium, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Goliath,Board Games,Board Games,"board-game, classic",true,Title,Default Title,,,DB-BG-CRANIU-142,0,shopify,100,deny,manual,24.99,,true,true,,https://m.media-amazon.com/images/I/812sIcfL0ML._AC_SX679_.jpg,1,Cranium Classic,false,Cranium,"Get the fun and exciting Cranium. Perfect for family game nights, parties, and gifts!",14.99
the-world,The World,"<p>Discover The World, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",The World Game,Board Games,Board Games,"board-game, kids-game",true,Title,Default Title,,,DB-BG-THEWOR-143,0,shopify,100,deny,manual,29.99,,true,true,,https://m.media-amazon.com/images/I/814mU5ILFLL._AC_SX679_.jpg,1,"The World Game - Fun Geography Board Game - Educational Game for Kids & Adults - Cool Learning Gift Idea for Teenage Boys & Girls, 2-5 Players",false,The World,"Get the fun and exciting The World. Perfect for family game nights, parties, and gifts!",17.99
super-big-boggle-with-6x6-grid-and-36-letter-cubes-usa,Super Big Boggle With 6x6 Grid And 36 Letter Cubes USA,"<p>Discover Super Big Boggle With 6x6 Grid And 36 Letter Cubes USA, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Winning Moves,Board Games,Board Games,"board-game, family-game",true,Title,Default Title,,,DB-BG-SUPERB-144,0,shopify,100,deny,manual,25.90,,true,true,,https://m.media-amazon.com/images/I/71j7M2aqXmL._AC_SX679_.jpg,1,"Winning Moves Super Big Boggle with 6x6 Grid and 36 Letter Cubes Games USA, The Biggest Boggle Game Ever, 4 Minute Sand Timer, for 2 or More Players, Ages 8+ (1165)",false,Super Big Boggle With 6x6 Grid And 36 Letter Cubes USA,"Get the fun and exciting Super Big Boggle With 6x6 Grid And 36 Letter Cubes USA. Perfect for family game nights, parties, and gifts!",15.54
speed-charades,Speed Charades,"<p>Discover Speed Charades, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",The GAME CHEF,Board Games,Board Games,"board-game, party-game",true,Title,Default Title,,,DB-BG-SPEEDC-145,0,shopify,100,deny,manual,24.99,,true,true,,https://m.media-amazon.com/images/I/81Er194QqUL._AC_SX679_.jpg,1,Speed Charades Party Game - Charades Board Game - Includes 1400 Charades - Perfect for Groups and Family Game Nights,false,Speed Charades,"Get the fun and exciting Speed Charades. Perfect for family game nights, parties, and gifts!",14.99
joy-for-all-trivial-pursuit-generations,JOY FOR ALL: Trivial Pursuit Generations,"<p>Discover JOY FOR ALL: Trivial Pursuit Generations, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",JOY FOR ALL,Board Games,Board Games,"board-game, trivia, card-game",true,Title,Default Title,,,DB-BG-JOYFOR-146,0,shopify,100,deny,manual,49.99,,true,true,,https://m.media-amazon.com/images/I/815uDfccKfL._AC_SX679_.jpg,1,"JOY FOR ALL Games - Trivial Pursuit Generations - Generational Trivia - Create Personalized Questions - Bigger Easy-to-Read Cards - Fun Multigenerational Trivia Game for Seniors, Teens, and Adults",false,JOY FOR ALL: Trivial Pursuit Generations,"Get the fun and exciting JOY FOR ALL: Trivial Pursuit Generations. Perfect for family game nights, parties, and gifts!",29.99
brass-birmingham,Brass: Birmingham,"<p>Discover Brass: Birmingham, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Roxley Games,Board Games,Board Games,"board-game, strategy-game",true,Title,Default Title,,,DB-BG-BRASSB-147,0,shopify,100,deny,manual,73.79,,true,true,,https://m.media-amazon.com/images/I/81KHlGQgqCL._AC_SX679_.jpg,1,Roxley Games Brass: Birmingham – Critically Acclaimed Economic Strategy Game for 2–4 Players,false,Brass: Birmingham,"Get the fun and exciting Brass: Birmingham. Perfect for family game nights, parties, and gifts!",44.27
for-everyone,For Everyone,"<p>Discover For Everyone, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Loquacious Games,Board Games,Board Games,"board-game, trivia, card-game, party-game",true,Title,Default Title,,,DB-BG-FOREVE-148,0,shopify,100,deny,manual,18.99,,true,true,,https://m.media-amazon.com/images/I/71ilvkv3-PL._AC_SX679_.jpg,1,"Trivia for Everyone — 1000+ Questions for Adults, Teens, and Families — Fun Board Game for Party & Game Nights — Card Game for People in Pursuit of Fun — Two Difficulty Levels",false,For Everyone,"Get the fun and exciting For Everyone. Perfect for family game nights, parties, and gifts!",11.39
battleship-vintage-bookshelf-edition-naval-war-fabric,Battleship Vintage Bookshelf Edition Naval War Fabric,"<p>Discover Battleship Vintage Bookshelf Edition Naval War Fabric, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",WS Game Company,Board Games,Board Games,"board-game, family-game",true,Title,Default Title,,,DB-BG-BATTLE-149,0,shopify,100,deny,manual,49.99,,true,true,,https://m.media-amazon.com/images/I/91PxdB+FPQL._AC_SY879_.jpg,1,"WS Game Company Battleship Vintage Bookshelf Edition Naval War Game Fabric-Wrapped Book Box, Folding Battle Cases, Vintage Display Board Games for 2 Players, Ages 7+",false,Battleship Vintage Bookshelf Edition Naval War Fabric,"Get the fun and exciting Battleship Vintage Bookshelf Edition Naval War Fabric. Perfect for family game nights, parties, and gifts!",29.99
cash-n-guns-2nd-edition,Cash 'N Guns 2nd Edition,"<p>Discover Cash 'N Guns 2nd Edition, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Asmodee,Board Games,Board Games,"board-game, kids-game, party-game, strategy-game",true,Title,Default Title,,,DB-BG-CASHNG-150,0,shopify,100,deny,manual,39.99,,true,true,,https://m.media-amazon.com/images/I/81SQrRB3t-L._AC_SX679_.jpg,1,"Asmodee Cash 'N Guns 2nd Edition Party Game - Unleash Foam-Powered Heist Intimidation, Bluffing Strategy Game for Kids & Adults, Ages 10+, 4-8 Players, 30 Minute Playtime",false,Cash 'N Guns 2nd Edition,"Get the fun and exciting Cash 'N Guns 2nd Edition. Perfect for family game nights, parties, and gifts!",23.99
my-very-first,My Very First,"<p>Discover My Very First, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",HABA,Board Games,Board Games,"board-game, kids-game",true,Title,Default Title,,,DB-BG-MYVERY-151,0,shopify,100,deny,manual,29.99,,true,true,,https://m.media-amazon.com/images/I/81-oU6osW5L._AC_SX679_.jpg,1,"HABA My Very First Games - Here Fishy Fishy! Magnetic Fishing Game Ages 2+ Made in Germany Toddler Games, Learning Toys, Preschool Toys",false,My Very First,"Get the fun and exciting My Very First. Perfect for family game nights, parties, and gifts!",17.99
take-time,Take Time,"<p>Discover Take Time, a fantastic and engaging game perfect for your next game night! Ideal for players looking for strategy, fun, and memorable moments. This game features high-quality components and is designed to bring family and friends together for hours of entertainment.</p>",Asmodee,Board Games,Board Games,"board-game, puzzle, kids-game, strategy-game",true,Title,Default Title,,,DB-BG-TAKETI-152,0,shopify,100,deny,manual,32.99,,true,true,,https://m.media-amazon.com/images/I/810zuY2PiTL._AC_SX679_.jpg,1,"Asmodee Take Time Board Game - Cooperative Puzzle & Strategy Game with 40 Unique Challenges, Family Fun for Kids & Adults, Ages 10+, 1-4 Players, Minute Playtime",false,Take Time,"Get the fun and exciting Take Time. Perfect for family game nights, parties, and gifts!",19.79
